func_id,n_fail,n_all,fail_rate,top_reasons
5,399,1367,0.291880,baseline_fail:no_bracket:399
12,359,1370,0.262044,baseline_fail:no_bracket:359
6,201,807,0.249071,baseline_fail:no_bracket:201
10,177,478,0.370293,baseline_fail:no_bracket:177
0,160,1545,0.103560,baseline_fail:no_bracket:160
11,135,395,0.341772,baseline_fail:no_bracket:135
9,123,416,0.295673,baseline_fail:no_bracket:123
1,28,1725,0.016232,baseline_fail:no_bracket:28
2,0,889,0.000000,
3,0,62,0.000000,
13,0,946,0.000000,
