func_id,n_fail,n_all,fail_rate,top_reasons
10,158,406,0.389163,all_fail:none:158
5,360,1229,0.292921,all_fail:none:360
11,188,642,0.292835,all_fail:none:188
12,322,1235,0.260729,all_fail:none:322
6,185,745,0.248322,all_fail:none:185
9,86,366,0.234973,all_fail:none:86
8,18,130,0.138462,all_fail:none:18
0,142,1397,0.101646,all_fail:none:142
1,25,1544,0.016192,all_fail:none:25
2,0,816,0.000000,
3,0,280,0.000000,
13,0,864,0.000000,
14,0,346,0.000000,
